GEOID,year,total_renters_count,GRAPI_under_15_count,GRAPI_15_to_19.9_count,GRAPI_20_to_24.9_count,GRAPI_25_to_29.9_count,GRAPI_30_to_35_count,GRAPI_35_or_greater_count,GRAPI_unknown_count,GRAPI_under_15_pct,GRAPI_15_to_19.9_pct,GRAPI_20_to_24.9_pct,GRAPI_25_to_29.9_pct,GRAPI_30_to_35_pct,GRAPI_35_or_greater_pct
06001400100,2015,0.04986125847972106,0.00040714046229101554,0.02369431438385574,0.0003094267513411718,0.010840233144165944,0.007898104794618579,0.006712038943448608,0.00932845492316316,0.008165467032016501,0.47520490068441396,0.006205754944332541,0.2174079330262943,0.1584016335614713,0.13461431075147137
06001404400,2015,0.03326764800541705,0.011713960565287694,0.0,0.008902610029618648,0.008902610029618648,0.0,0.003748467380892062,0.003279908958280554,0.352112676056338,0.0,0.2676056338028169,0.2676056338028169,0.0,0.11267605633802816
06001404502,2015,0.18117456420025607,0.03787246292508859,0.029860777241618904,0.007323126578757209,0.020262796716792066,0.02787005875884431,0.05798534197915498,0.0527278927145352,0.20903852089980665,0.16481771253835145,0.04042027980629114,0.11184128857291009,0.15382986503579468,0.32005233314684595
06001404600,2015,0.048003746480295886,0.009185902104254151,0.008889582681536275,0.0005926388454357517,0.004444791340768138,0.008296943836100523,0.016593887672201046,0.01511229055861167,0.19135802469135804,0.18518518518518517,0.01234567901234568,0.09259259259259259,0.1728395061728395,0.345679012345679
06001430101,2015,3.4350102638891964,0.22574656256485262,0.6713983221410643,0.5154651790021667,0.2623409140765052,0.36145752659023844,1.3986017595143694,0.18820666377142942,0.0657193269371071,0.19545744279112923,0.1500621946959033,0.0763726725461009,0.10522749535571636,0.40716086767404325
06001430102,2015,0.0519316730449908,0.004977976439223494,0.00586852329219798,0.009333073187591967,0.004960529258332213,0.010168219906710286,0.016623350960934858,0.0015666844628442257,0.09585626935051454,0.11300470306654299,0.17971832294920087,0.09552030519091265,0.19579996773647343,0.32010043170635544
06001451104,2015,0.14589973849560306,0.01585866722778294,0.025373867564452708,0.00528622240926098,0.03171733445556588,0.014801422745930746,0.05286222409260981,0.10043822577595862,0.10869565217391304,0.1739130434782609,0.036231884057971016,0.21739130434782608,0.10144927536231885,0.36231884057971014
06013301000,2015,262.8386831142518,15.990186044973493,77.95215696924578,7.9950930224867465,42.97362499586626,0.0,117.92762208167952,75.95338371362409,0.06083650190114068,0.2965779467680608,0.03041825095057034,0.16349809885931557,0.0,0.44866920152091255
06013302005,2015,872.3831530242763,35.0,74.08147506838058,84.03082840425212,144.07486898175515,49.0,486.19598056988843,0.0,0.04011998613071112,0.08491850720817287,0.09632330486087888,0.16515090700948679,0.05616798058299556,0.5573193142077547
06013302006,2015,185.15867413870717,9.352900145152113,17.544598989432274,17.457463151123108,39.296261850251156,11.2396235553502,90.26782644739833,37.20041242811108,0.05051289219183765,0.09475439954970276,0.09428379865177296,0.21223019679225671,0.06070265737013382,0.48751605544429616
06013302007,2015,394.27058962235617,9.03023139229083,10.046653383164859,55.03918884185848,92.02537944044168,45.020527488592535,183.10860907600778,62.01716844500467,0.022903639353217414,0.025481620104578016,0.13959750052515105,0.23340665487777382,0.11418687742272256,0.4644237077165571
06013302009,2015,848.4024475906251,110.46961144192188,104.87179227039555,101.20467482644676,122.51745643241615,38.15630875383965,371.182603865605,14.02879097787469,0.1302089730594768,0.12361090254774788,0.11928852293372978,0.14440959803964853,0.04497430301173648,0.4375077004076604
06013302011,2015,607.6499834431811,67.88096152902935,104.78726829927714,87.98602420307252,57.00462235021021,46.08534711815009,243.90575994344184,38.59072478519234,0.11171062845157903,0.17244675578778385,0.14479721319913397,0.09381160849737846,0.07584192935711541,0.4013918647070094
06013302012,2015,114.08206968150371,12.745720888554207,19.66932235887995,16.522230781459157,10.700111363230693,8.654501837907178,45.790182451472525,7.238310628067821,0.11172413793103447,0.17241379310344826,0.14482758620689654,0.09379310344827586,0.07586206896551724,0.4013793103448276
06013302013,2015,159.63983152494646,0.7024835147864583,33.150763269187706,12.918389700472977,31.184760005281813,0.20246913486350052,81.48096590035402,0.07459389179181598,0.004400427562946176,0.2076597234694985,0.08092209555141167,0.19534448080652517,0.0012682870742810903,0.5104049855353375
06013302014,2015,194.46289417317416,0.0001592782175353018,41.35116970285501,15.646983830866276,37.99789678462293,0.00042094957491472623,99.4662636270375,0.00017065523307353765,8.190674021001688e-07,0.2126429819872512,0.0804625679227639,0.19539921457090337,2.164678134121875e-06,0.5114922517735454
06013303104,2015,400.78429163165157,18.67214669831322,69.35368773659195,96.02818301989655,8.00234858499138,49.347816274113505,159.38010931774497,20.00587146247845,0.046589018302828626,0.173044925124792,0.2396006655574043,0.019966722129783693,0.12312811980033278,0.39767054908485855
06013303105,2015,200.21228957517914,9.327694023469245,34.645720658600055,47.970997834984686,3.9975831529153907,24.651762776311575,79.6185311288982,9.993957882288477,0.046589018302828626,0.17304492512479203,0.23960066555740434,0.019966722129783693,0.12312811980033278,0.3976705490848586
06013303106,2015,1189.0701785649749,130.02652782196182,191.90122037172296,85.18979409025084,121.05918107561962,201.76530179269938,459.12815341272034,47.52693775561363,0.10935143288084466,0.16138763197586728,0.07164404223227754,0.10180995475113122,0.16968325791855204,0.3861236802413273
06013303107,2015,136.92982143502508,14.973472178038188,22.09877962827705,9.810205909749158,13.940818924380382,23.234698207300635,52.87184658727967,5.473062244386372,0.10935143288084465,0.16138763197586728,0.07164404223227754,0.10180995475113123,0.16968325791855204,0.3861236802413273
