GEO_ID,NAME,year,total_renters_count,GRAPI_under_15_count,GRAPI_15_to_19.9_count,GRAPI_20_to_24.9_count,GRAPI_25_to_29.9_count,GRAPI_30_to_35_count,GRAPI_35_or_greater_count,GRAPI_unknown_count
1400000US06013329000,Census Tract 3290; Contra Costa County; California,2010,98,119,116,63,522,28,,
1400000US06013330000,Census Tract 3300; Contra Costa County; California,2010,33,18,54,0,159,62,,
1400000US06013331000,Census Tract 3310; Contra Costa County; California,2010,239,80,113,96,620,33,,
1400000US06013332000,Census Tract 3320; Contra Costa County; California,2010,106,71,97,94,306,35,,
1400000US06013333101,Census Tract 3331.01; Contra Costa County; California,2010,37,9,127,57,154,20,,
1400000US06013333102,Census Tract 3331.02; Contra Costa County; California,2010,80,171,35,19,80,0,,
1400000US06013333200,Census Tract 3332; Contra Costa County; California,2010,43,68,27,50,274,0,,
1400000US06013334001,Census Tract 3340.01; Contra Costa County; California,2010,30,74,82,34,396,0,,
1400000US06013334004,"Census Tract 3340.04, Contra Costa County, California",2010,59,176,125,180,587,69,,
1400000US06013334006,Census Tract 3340.06; Contra Costa County; California,2010,29,14,29,11,82,22,,
1400000US06013334200,Census Tract 3342; Contra Costa County; California,2010,35,60,60,41,359,57,,
1400000US06013335000,Census Tract 3350; Contra Costa County; California,2010,53,43,49,16,101,0,,
1400000US06013336101,Census Tract 3361.01; Contra Costa County; California,2010,55,233,164,114,502,29,,
1400000US06013336102,"Census Tract 3361.02, Contra Costa County, California",2010,317,267,134,231,939,27,,
1400000US06013336201,Census Tract 3362.01; Contra Costa County; California,2010,19,52,30,0,183,11,,
1400000US06013336202,Census Tract 3362.02; Contra Costa County; California,2010,96,141,165,97,714,0,,
1400000US06013337100,Census Tract 3371; Contra Costa County; California,2010,49,0,30,15,116,22,,
1400000US06013337200,"Census Tract 3372, Contra Costa County, California",2010,186,75,62,46,402,47,,
1400000US06013337300,Census Tract 3373; Contra Costa County; California,2010,84,55,61,55,152,11,,
1400000US06013338101,Census Tract 3381.01; Contra Costa County; California,2010,77,24,52,13,332,21,,
1400000US06013338102,Census Tract 3381.02; Contra Costa County; California,2010,0,61,43,12,139,0,,
1400000US06013338201,Census Tract 3382.01; Contra Costa County; California,2010,30,53,14,0,22,0,,
1400000US06013338203,Census Tract 3382.03; Contra Costa County; California,2010,261,285,284,57,501,26,,
1400000US06013338204,Census Tract 3382.04; Contra Costa County; California,2010,141,292,42,14,179,50,,
1400000US06013338301,Census Tract 3383.01; Contra Costa County; California,2010,0,0,5,0,0,0,,
1400000US06013338302,Census Tract 3383.02; Contra Costa County; California,2010,28,10,9,0,69,0,,
